object,test,pass_fail,max_linear_velocity_after_settling,max_angular_velocity_after_settling,max_normal_contact_force,min_body_z,finger_contact_count,recommended_fix,duration_s
stable_block,gripper_squeeze,fail,5.9728350976431415,17.71141133400206,0.0,0.11252377217599685,0,no gripper/object contact; check object placement and finger pad reach,0.015023459000000017
stable_block,lift,fail,5.9728350976431415,17.71141133400206,7.669642223227914,0.11252377217599685,0,no gripper/object contact; check object placement and finger pad reach,0.020255791999999995
stable_can,gripper_squeeze,fail,4.653012092644126,47.417533131220296,1.1036450194887264,0.33331495058926014,0,no gripper/object contact; check object placement and finger pad reach,0.01021175000000002
stable_can,lift,fail,4.653012092644126,47.417533131220296,1.1036450194887264,0.33331495058926014,0,no gripper/object contact; check object placement and finger pad reach,0.013737917000000044
stable_sphere,gripper_squeeze,pass,1.9598596263833878,0.0037118498387248033,3.959230373189713,1.0805262533740334,2,,0.01025029200000005
stable_sphere,lift,pass,2.158925165506355,0.0037118498387248033,3.959230373189713,1.0805262533740334,2,,0.01644887499999992
ycb_apple,gripper_squeeze,pass,1.954332782552793,0.006860555943938146,5.869307558947313,1.0751143991526977,2,,0.010590499999999947
ycb_apple,lift,pass,2.2099505372013177,0.28650209568782936,5.869307558947313,1.0751143991526977,2,,0.017154667000000012
plate,gripper_squeeze,pass,1.9466616649190411,0.6438092245978158,118.64087057255391,1.0060214736769229,2,,0.012640292000000053
plate,lift,pass,3.4733119660942435,0.6438092245978158,118.64087057255391,1.0060214736769229,2,,0.017867291000000063
bowl,gripper_squeeze,pass,1.9494689614940581,0.502574639859343,202.86389941102715,1.006309834413095,13,,0.02497791599999999
bowl,lift,pass,3.243120935015178,2.655690853612299,202.86389941102715,1.006309834413095,13,,0.031191749999999963
ycb_b_cups,gripper_squeeze,pass,1.9187996881262073,11.675881284274391,8.342658426365194,0.9661130949446707,2,,0.010948624999999934
ycb_b_cups,lift,pass,3.350968017566959,11.675881284274391,8.342658426365194,0.9661130949446707,2,,0.015599583999999944
