object,test,pass_fail,max_linear_velocity_after_settling,max_angular_velocity_after_settling,max_normal_contact_force,min_body_z,finger_contact_count,recommended_fix,duration_s
stable_block,gripper_squeeze,pass,1.9595772726831138,0.08542652742350706,4.9277668991051415,1.069655894297706,7,,0.03466333299999996
stable_block,lift,pass,1.9595772726831138,2.489471568306931,32.15392320308522,1.1086693095755829,7,,0.06364029199999999
stable_can,gripper_squeeze,fail,4.203779034372895,63.509976686723604,0.0,2.5381115615118275,0,no gripper/object contact; check object placement and finger pad reach,0.02057637499999998
stable_can,lift,fail,4.203779034372895,63.51030742098474,0.0,3.3426331068480764,0,no gripper/object contact; check object placement and finger pad reach,0.019525499999999973
stable_sphere,gripper_squeeze,pass,1.9708902222328926,0.010782659436993195,6.021004923472946,1.0826330455158795,2,,0.012919249999999993
stable_sphere,lift,pass,1.9708902222328926,0.013551472125603215,13.237866169942558,1.1040389887279414,2,,0.020221374999999986
ycb_apple,gripper_squeeze,pass,1.965913856645258,0.001736282624810709,17.05463422523509,1.079586960408154,2,,0.013097250000000005
ycb_apple,lift,pass,1.965913856645258,0.0029420433030709686,19.86617613928831,1.1052208718495595,2,,0.02225733299999999
plate,gripper_squeeze,fail,2.6532053030031983,26.72891702916721,615.587381196821,1.022610789654038,0,no gripper/object contact; check object placement and finger pad reach,0.022608541000000038
plate,lift,fail,2.6532053030031983,26.72891702916721,615.587381196821,1.1927873855831266,0,no gripper/object contact; check object placement and finger pad reach,0.02917445799999996
bowl,gripper_squeeze,pass,2.0476409861533504,4.284674990154592,704.4949474708079,1.0251164841207479,25,,0.04474437500000006
bowl,lift,pass,2.0476409861533504,4.284674990154592,704.4949474708079,1.0766578016786685,25,,0.06824475000000008
ycb_b_cups,gripper_squeeze,fail,7.103667031102948,50.74774585848404,0.0,3.155423333089801,0,no gripper/object contact; check object placement and finger pad reach,0.012802582999999923
ycb_b_cups,lift,fail,7.103667031102948,50.99078468543667,0.0,4.97057221404763,0,no gripper/object contact; check object placement and finger pad reach,0.01886154200000001
