environment_scene_id,xml_path,compiled_model_count,estimated_memory_mb,memory_estimate_method,renderer_count,camera_count,included_xml_count,referenced_mesh_count,referenced_texture_count,missing_referenced_file_count
desk__bowl-plate-ycb_apple-ycb_baseball_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__bowl-plate-ycb_apple-ycb_baseball_wrapper/desk__bowl-plate-ycb_apple-ycb_baseball_wrapper.xml,1,15.793,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,6,14,5,0
desk__bowl-plate-ycb_apple-ycb_pear_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__bowl-plate-ycb_apple-ycb_pear_wrapper/desk__bowl-plate-ycb_apple-ycb_pear_wrapper.xml,1,15.790,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,6,17,5,0
desk__bowl-plate-ycb_apple_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__bowl-plate-ycb_apple_wrapper/desk__bowl-plate-ycb_apple_wrapper.xml,1,13.760,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,5,12,4,0
desk__bowl-plate-ycb_baseball-ycb_pear_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__bowl-plate-ycb_baseball-ycb_pear_wrapper/desk__bowl-plate-ycb_baseball-ycb_pear_wrapper.xml,1,15.892,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,6,13,5,0
desk__bowl-plate-ycb_baseball_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__bowl-plate-ycb_baseball_wrapper/desk__bowl-plate-ycb_baseball_wrapper.xml,1,13.861,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,5,8,4,0
desk__bowl-ycb_apple-ycb_baseball-ycb_pear_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__bowl-ycb_apple-ycb_baseball-ycb_pear_wrapper/desk__bowl-ycb_apple-ycb_baseball-ycb_pear_wrapper.xml,1,9.203,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,6,19,5,0
desk__bowl-ycb_apple-ycb_baseball_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__bowl-ycb_apple-ycb_baseball_wrapper/desk__bowl-ycb_apple-ycb_baseball_wrapper.xml,1,7.173,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,5,14,4,0
desk__bowl-ycb_apple-ycb_pear_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__bowl-ycb_apple-ycb_pear_wrapper/desk__bowl-ycb_apple-ycb_pear_wrapper.xml,1,7.170,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,5,17,4,0
desk__plate-ycb_apple-ycb_baseball-ycb_pear_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple-ycb_baseball-ycb_pear_wrapper/desk__plate-ycb_apple-ycb_baseball-ycb_pear_wrapper.xml,1,15.801,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,6,13,5,0
desk__plate-ycb_apple-ycb_baseball_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple-ycb_baseball_wrapper/desk__plate-ycb_apple-ycb_baseball_wrapper.xml,1,13.771,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,5,8,4,0
desk__plate-ycb_apple-ycb_pear_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple-ycb_pear_wrapper/desk__plate-ycb_apple-ycb_pear_wrapper.xml,1,13.768,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,5,11,4,0
desk__plate-ycb_apple_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_apple_wrapper/desk__plate-ycb_apple_wrapper.xml,1,11.738,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,4,6,3,0
desk__plate-ycb_baseball-ycb_pear_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__plate-ycb_baseball-ycb_pear_wrapper/desk__plate-ycb_baseball-ycb_pear_wrapper.xml,1,13.870,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,5,7,4,0
desk__ycb_apple-ycb_baseball-ycb_pear_wrapper,/Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_VLA_Bootstrapping/RL_VLA_Bootstrapping/robots/cdpr/cdpr_dataset/wrappers/desk__ycb_apple-ycb_baseball-ycb_pear_wrapper/desk__ycb_apple-ycb_baseball-ycb_pear_wrapper.xml,1,7.181,lower_bound_sum_of_existing_referenced_files_not_MjModel_heap,1,2,5,13,4,0
