backend_name,simulator_version,task_name,object_category,object_name,robot_embodiment,num_environments,validation_scope,episode,reset_time_s,steps,step_time_s,step_fps_no_render,success,success_predicate_correctness,initial_ee_xyz,final_ee_xyz,initial_object_xyz,final_object_xyz,reference_object_xyz,threshold_m,engineering_notes
mujoco_raw_cdpr,3.2.4,move_to_object,cube/block,block,current CDPR gripper MJCF with kinematic waypoint EE controller,1,scripted_waypoint_predicate,0,0.000456,300,0.034090,8800.22,1,8/8,"[0.0000, 0.0000, 0.2200]","[-0.0498, 0.0261, 0.1835]","[-0.0560, 0.0322, 0.0520]","[-0.0560, 0.0322, 0.0505]",,0.0400,XY predicate on ee_base to target body; waypoint controller only.
mujoco_raw_cdpr,3.2.4,move_to_object,cube/block,block,current CDPR gripper MJCF with kinematic waypoint EE controller,1,scripted_waypoint_predicate,1,0.000325,300,0.033654,8914.18,1,8/8,"[0.0000, 0.0000, 0.2200]","[-0.0416, 0.0419, 0.1835]","[-0.0478, 0.0481, 0.0520]","[-0.0478, 0.0481, 0.0505]",,0.0400,XY predicate on ee_base to target body; waypoint controller only.
mujoco_raw_cdpr,3.2.4,move_to_object,cube/block,block,current CDPR gripper MJCF with kinematic waypoint EE controller,1,scripted_waypoint_predicate,2,0.000317,300,0.033507,8953.48,1,8/8,"[0.0000, 0.0000, 0.2200]","[-0.0166, -0.0432, 0.1835]","[-0.0227, -0.0374, 0.0520]","[-0.0227, -0.0374, 0.0505]",,0.0400,XY predicate on ee_base to target body; waypoint controller only.
mujoco_raw_cdpr,3.2.4,move_to_object,cube/block,block,current CDPR gripper MJCF with kinematic waypoint EE controller,1,scripted_waypoint_predicate,3,0.000285,300,0.033433,8973.27,1,8/8,"[0.0000, 0.0000, 0.2200]","[-0.0528, 0.0522, 0.1835]","[-0.0590, 0.0585, 0.0520]","[-0.0590, 0.0585, 0.0505]",,0.0400,XY predicate on ee_base to target body; waypoint controller only.
mujoco_raw_cdpr,3.2.4,move_to_object,cube/block,block,current CDPR gripper MJCF with kinematic waypoint EE controller,1,scripted_waypoint_predicate,4,0.000331,300,0.033512,8951.93,1,8/8,"[0.0000, 0.0000, 0.2200]","[0.0597, 0.0236, 0.1835]","[0.0540, 0.0298, 0.0520]","[0.0540, 0.0298, 0.0505]",,0.0400,XY predicate on ee_base to target body; waypoint controller only.
mujoco_raw_cdpr,3.2.4,move_to_object,cube/block,block,current CDPR gripper MJCF with kinematic waypoint EE controller,1,scripted_waypoint_predicate,5,0.000299,300,0.033456,8966.98,1,8/8,"[0.0000, 0.0000, 0.2200]","[-0.0345, 0.0531, 0.1835]","[-0.0407, 0.0593, 0.0520]","[-0.0407, 0.0593, 0.0505]",,0.0400,XY predicate on ee_base to target body; waypoint controller only.
mujoco_raw_cdpr,3.2.4,move_to_object,cube/block,block,current CDPR gripper MJCF with kinematic waypoint EE controller,1,scripted_waypoint_predicate,6,0.000334,300,0.033128,9055.74,1,8/8,"[0.0000, 0.0000, 0.2200]","[0.0547, 0.0499, 0.1835]","[0.0490, 0.0561, 0.0520]","[0.0490, 0.0561, 0.0505]",,0.0400,XY predicate on ee_base to target body; waypoint controller only.
mujoco_raw_cdpr,3.2.4,move_to_object,cube/block,block,current CDPR gripper MJCF with kinematic waypoint EE controller,1,scripted_waypoint_predicate,7,0.000288,300,0.033687,8905.46,1,8/8,"[0.0000, 0.0000, 0.2200]","[0.0471, -0.0619, 0.1835]","[0.0413, -0.0562, 0.0520]","[0.0413, -0.0562, 0.0505]",,0.0400,XY predicate on ee_base to target body; waypoint controller only.
mujoco_raw_cdpr,3.2.4,move_to_object,cube/block,block,current CDPR gripper MJCF with kinematic waypoint EE controller,1,scripted_waypoint_predicate,8,0.000403,300,0.033485,8959.14,1,8/8,"[0.0000, 0.0000, 0.2200]","[0.0827, -0.0395, 0.1835]","[0.0771, -0.0337, 0.0520]","[0.0771, -0.0337, 0.0505]",,0.0400,XY predicate on ee_base to target body; waypoint controller only.
mujoco_raw_cdpr,3.2.4,move_to_object,cube/block,block,current CDPR gripper MJCF with kinematic waypoint EE controller,1,scripted_waypoint_predicate,9,0.000327,300,0.033379,8987.63,1,8/8,"[0.0000, 0.0000, 0.2200]","[0.0166, -0.0438, 0.1835]","[0.0107, -0.0380, 0.0520]","[0.0107, -0.0380, 0.0505]",,0.0400,XY predicate on ee_base to target body; waypoint controller only.
